urlkey,group_id,count
computer-programming,16967362,205
newtech,16967362,181
data-visualization,16967362,168
opensource,16967362,166
big-data,16967362,139
data-analytics,16967362,139
softwaredev,16967362,132
startup-businesses,16967362,103
hiking,16967362,100
web-development,16967362,94
data-mining,16967362,92
technology,16967362,92
webdesign,16967362,92
outdoors,16967362,91
technology-startups,16967362,82
python,16967362,80
livemusic,16967362,74
javascript,16967362,72
data-science,16967362,68
predictive-analytics,16967362,65
cloud-computing,16967362,60
fitness,16967362,58
machine-learning,16967362,58
mobile-development,16967362,58
entrepreneurship,16967362,57
art,16967362,56
diningout,16967362,55
mobile-technology,16967362,54
travel,16967362,53
intellectual-discussion,16967362,52
html5,16967362,50
web,16967362,49
prodev,16967362,48
science,16967362,47
coffee,16967362,45
business-strategy,16967362,43
edtech,16967362,43
happy-hours,16967362,42
user-experience,16967362,42
music,16967362,40
movies,16967362,39
bike,16967362,37
creative,16967362,37
functional-programming,16967362,35
walkers,16967362,34
businessintell,16967362,33
diy,16967362,33
camping,16967362,32
wine,16967362,32
leadership,16967362,31
performing-arts,16967362,31
big-data-analytics,16967362,30
excercise,16967362,30
fun-times,16967362,30
game-night,16967362,29
ai,16967362,28
linux,16967362,28
meditation,16967362,28
photo,16967362,28
bookclub,16967362,27
dating-and-relationships,16967362,27
foodie,16967362,27
games,16967362,27
graphicdesign,16967362,27
lean-startup,16967362,27
nosql,16967362,27
programming-languages,16967362,27
r-project-for-statistical-computing,16967362,27
language,16967362,26
wellness,16967362,26
young-professionals,16967362,26
musicians,16967362,25
self-improvement,16967362,25
social,16967362,25
applied-statistics,16967362,24
cardgame,16967362,24
creative-writing,16967362,24
javascript-frameworks,16967362,24
adventure,16967362,23
hadoop,16967362,23
witi,16967362,23
cooking-any-and-all-kinds-of-cooking,16967362,22
css,16967362,22
database-development,16967362,22
gaming,16967362,22
outdoor-fitness,16967362,22
r-users-group,16967362,22
beer,16967362,21
communication-skills,16967362,21
craftswap,16967362,21
boston-artists,16967362,20
dance-lessons,16967362,20
dancing,16967362,20
reading,16967362,20
geeks-nerds,16967362,19
internet-startups,16967362,19
seo-search-engine-optimization,16967362,19
weekend-adventures,16967362,19
20s-30s-social,16967362,18
board-games,16967362,18
film,16967362,18
healthy-living,16967362,18
java,16967362,18
literature,16967362,18
online-marketing,16967362,18
social-dancing,16967362,18
business-entrepreneur-networking,16967362,17
business-networking,16967362,17
concerts,16967362,17
professional-networking,16967362,17
pubs-bars,16967362,17
science-fiction,16967362,17
sustainability,16967362,17
conversation,16967362,16
innovation,16967362,16
live-theatre,16967362,16
recipes,16967362,16
writing,16967362,16
backpacking,16967362,15
community-building,16967362,15
critical-thinking,16967362,15
environment,16967362,15
international-travel,16967362,15
ixd,16967362,15
outdoor-adventures,16967362,15
philosophy,16967362,15
sports,16967362,15
amazon-web-services,16967362,14
arduino,16967362,14
collaboration-between-creative-minds,16967362,14
cycling,16967362,14
jquery,16967362,14
learning,16967362,14
nonprofit,16967362,14
php,16967362,14
ruby,16967362,14
scifi,16967362,14
videogame,16967362,14
young-professional-singles,16967362,14
android-developers,16967362,13
computer-science,16967362,13
eating-drinking-talking-laughing-etc,16967362,13
mapreduce,16967362,13
publicspeaking,16967362,13
ux-design,16967362,13
community-service,16967362,12
culture-exchange,16967362,12
education,16967362,12
film-and-video-production,16967362,12
gardening,16967362,12
hacking,16967362,12
high-scalability-computing,16967362,12
poetry,16967362,12
robotics,16967362,12
salsa,16967362,12
self-empowerment,16967362,12
spirituality,16967362,12
webstandards,16967362,12
digcam,16967362,11
fiction,16967362,11
geek,16967362,11
makers,16967362,11
mysql,16967362,11
psychology,16967362,11
recreational-sports,16967362,11
scala,16967362,11
social-media,16967362,11
atheists,16967362,10
gis,16967362,10
healthy-eating,16967362,10
ia,16967362,10
nodejs,16967362,10
ruby-on-rails,16967362,10
storytelling,16967362,10
trivia,16967362,10
wholefood,16967362,10
art-walks-and-tours,16967362,9
clojure,16967362,9
cms,16967362,9
cooking-dinner-parties,16967362,9
docfilm,16967362,9
electronics,16967362,9
mathematics,16967362,9
non-fiction,16967362,9
social-justice,16967362,9
women,16967362,9
3d-modeling,16967362,8
architecture,16967362,8
aws,16967362,8
consciousness,16967362,8
dance-and-movement,16967362,8
engineering,16967362,8
fashion-and-style,16967362,8
french,16967362,8
getting-organized,16967362,8
handmade-crafts,16967362,8
investing,16967362,8
latin-dance,16967362,8
mapping,16967362,8
nature-photography,16967362,8
newintown,16967362,8
parents,16967362,8
professional-singles,16967362,8
skeptics,16967362,8
social-entrepreneurship,16967362,8
test-automation,16967362,8
usability,16967362,8
vegan,16967362,8
agile-project-management,16967362,7
chinese-culture,16967362,7
classical,16967362,7
critique-group,16967362,7
databasepro,16967362,7
dog-walks,16967362,7
drumcircle,16967362,7
esl,16967362,7
freethinker,16967362,7
independent-filmmakers,16967362,7
journalism,16967362,7
knitting,16967362,7
math,16967362,7
movie-nights,16967362,7
museum,16967362,7
nature,16967362,7
painting,16967362,7
productdesign,16967362,7
pyladies,16967362,7
selenium,16967362,7
self-exploration,16967362,7
spanish,16967362,7
spatial-data,16967362,7
statistical-consulting,16967362,7
strategy-games,16967362,7
writing-workshops,16967362,7
alternativeenergy,16967362,6
angularjs,16967362,6
animals,16967362,6
astronomy,16967362,6
chess,16967362,6
cognitive-science,16967362,6
couples,16967362,6
craft-beer,16967362,6
cultural-activities,16967362,6
datamanagement,16967362,6
digital-marketing,16967362,6
drupal,16967362,6
esri,16967362,6
html,16967362,6
humanism,16967362,6
indiefilm,16967362,6
ios-development,16967362,6
jvm-languages,16967362,6
kayaking,16967362,6
latino-culture,16967362,6
natural-language-processing,16967362,6
novel-writing,16967362,6
people-helping-people,16967362,6
php-application-development,16967362,6
physics,16967362,6
pickupsoccer,16967362,6
