urlkey	url_key_copy	group_id	count
computer-programming	computer-programming	16967362	205
newtech	newtech	16967362	181
data-visualization	data-visualization	16967362	168
opensource	opensource	16967362	166
big-data	big-data	16967362	139
data-analytics	data-analytics	16967362	139
softwaredev	softwaredev	16967362	132
startup-businesses	business-various	16967362	103
hiking	hiking	16967362	100
web-development	web-development	16967362	94
data-mining	data-mining	16967362	92
technology	technology	16967362	92
webdesign	webdesign	16967362	92
outdoors	outdoors	16967362	91
technology-startups	startups-various	16967362	82
python	python	16967362	80
livemusic	livemusic	16967362	74
javascript	java	16967362	72
data-science	data-science	16967362	68
predictive-analytics	predictive-analytics	16967362	65
cloud-computing	cloud-computing	16967362	60
fitness	fitness	16967362	58
machine-learning	machine-learning	16967362	58
mobile-development	mobile-development	16967362	58
entrepreneurship	entrepreneurship-various	16967362	57
art	arts-various	16967362	56
diningout	diningout	16967362	55
mobile-technology	mobile-technology	16967362	54
travel	travel	16967362	53
intellectual-discussion	intellectual-discussion	16967362	52
html5	html-various	16967362	50
web	web	16967362	49
prodev	prodev	16967362	48
science	science	16967362	47
coffee	coffee	16967362	45
business-strategy	business-various	16967362	43
edtech	edtech	16967362	43
happy-hours	happy-hours	16967362	42
user-experience	user-experience	16967362	42
music	music	16967362	40
movies	movies	16967362	39
bike	bike	16967362	37
creative	creative	16967362	37
functional-programming	functional-programming	16967362	35
walkers	walkers	16967362	34
businessintell	business-various	16967362	33
diy	diy	16967362	33
camping	camping	16967362	32
wine	wine	16967362	32
leadership	leadership	16967362	31
performing-arts	arts-various	16967362	31
big-data-analytics	big-data-analytics	16967362	30
excercise	excercise	16967362	30
fun-times	fun-times	16967362	30
game-night	game-night	16967362	29
ai	ai	16967362	28
linux	linux	16967362	28
meditation	meditation	16967362	28
photo	photo	16967362	28
bookclub	bookclub	16967362	27
dating-and-relationships	dating-and-relationships	16967362	27
foodie	foodie	16967362	27
games	games	16967362	27
graphicdesign	graphicdesign	16967362	27
lean-startup	startups-various	16967362	27
nosql	nosql	16967362	27
programming-languages	programming-languages	16967362	27
r-project-for-statistical-computing	r-project-for-statistical-computing	16967362	27
language	language	16967362	26
wellness	wellness	16967362	26
young-professionals	young-professionals	16967362	26
musicians	musicians	16967362	25
self-improvement	self-improvement	16967362	25
social	social	16967362	25
applied-statistics	statistics-various	16967362	24
cardgame	cardgame	16967362	24
creative-writing	creative-writing	16967362	24
javascript-frameworks	java	16967362	24
adventure	adventure	16967362	23
hadoop	hadoop	16967362	23
witi	witi	16967362	23
cooking-any-and-all-kinds-of-cooking	cooking	16967362	22
css	css	16967362	22
database-development	database-development	16967362	22
gaming	gaming	16967362	22
outdoor-fitness	outdoor-fitness	16967362	22
r-users-group	r-users-group	16967362	22
beer	beer	16967362	21
communication-skills	communication-skills	16967362	21
craftswap	craftswap	16967362	21
boston-artists	arts-various	16967362	20
dance-lessons	dance-various	16967362	20
dancing	dancing	16967362	20
reading	reading	16967362	20
geeks-nerds	geeks-nerds	16967362	19
internet-startups	startups-various	16967362	19
seo-search-engine-optimization	seo-search-engine-optimization	16967362	19
weekend-adventures	weekend-adventures	16967362	19
20s-30s-social	20s-30s-social	16967362	18
board-games	board-games	16967362	18
film	film	16967362	18
healthy-living	healthy-living	16967362	18
java	java	16967362	18
literature	literature	16967362	18
online-marketing	online-marketing	16967362	18
social-dancing	social-dancing	16967362	18
business-entrepreneur-networking	business-various	16967362	17
business-networking	business-various	16967362	17
concerts	concerts	16967362	17
professional-networking	networking	16967362	17
pubs-bars	pubs-bars	16967362	17
science-fiction	science-fiction	16967362	17
sustainability	sustainability	16967362	17
conversation	conversation	16967362	16
innovation	innovation	16967362	16
live-theatre	live-theatre	16967362	16
recipes	recipes	16967362	16
writing	writing	16967362	16
backpacking	backpacking	16967362	15
community-building	community-building	16967362	15
critical-thinking	critical-thinking	16967362	15
environment	environment	16967362	15
international-travel	international-travel	16967362	15
ixd	ixd	16967362	15
outdoor-adventures	outdoor-adventures	16967362	15
philosophy	philosophy	16967362	15
sports	sports	16967362	15
amazon-web-services	amazon-web-services	16967362	14
arduino	arduino	16967362	14
collaboration-between-creative-minds	collaboration-between-creative-minds	16967362	14
cycling	cycling	16967362	14
jquery	jquery	16967362	14
learning	learning	16967362	14
nonprofit	nonprofit	16967362	14
php	php-various	16967362	14
ruby	ruby	16967362	14
scifi	sci-fi	16967362	14
videogame	videogame	16967362	14
young-professional-singles	young-professional-singles	16967362	14
android-developers	android-developers	16967362	13
computer-science	computer-science	16967362	13
eating-drinking-talking-laughing-etc	eating-drinking-talking-laughing-etc	16967362	13
mapreduce	mapreduce	16967362	13
publicspeaking	publicspeaking	16967362	13
ux-design	ui-design	16967362	13
community-service	community-service	16967362	12
culture-exchange	culture-exchange	16967362	12
education	education	16967362	12
film-and-video-production	film-and-video-production	16967362	12
gardening	gardening	16967362	12
hacking	hacking	16967362	12
high-scalability-computing	high-scalability-computing	16967362	12
poetry	poetry	16967362	12
robotics	robotics	16967362	12
salsa	salsa	16967362	12
self-empowerment	self-empowerment	16967362	12
spirituality	spirituality	16967362	12
webstandards	webstandards	16967362	12
digcam	digcam	16967362	11
fiction	fiction	16967362	11
geek	geek	16967362	11
makers	makers	16967362	11
mysql	mysql	16967362	11
psychology	psychology	16967362	11
recreational-sports	recreational-sports	16967362	11
scala	scala	16967362	11
social-media	social-media	16967362	11
atheists	atheists	16967362	10
gis	gis	16967362	10
healthy-eating	healthy-eating	16967362	10
ia	ia	16967362	10
nodejs	nodejs	16967362	10
ruby-on-rails	ruby-on-rails	16967362	10
storytelling	storytelling	16967362	10
trivia	trivia	16967362	10
wholefood	wholefood	16967362	10
art-walks-and-tours	arts-various	16967362	9
clojure	clojure	16967362	9
cms	cms	16967362	9
cooking-dinner-parties	cooking	16967362	9
docfilm	docfilm	16967362	9
electronics	electronics	16967362	9
mathematics	mathematics	16967362	9
non-fiction	non-fiction	16967362	9
social-justice	social-justice	16967362	9
women	women	16967362	9
3d-modeling	3d-modeling	16967362	8
architecture	architecture	16967362	8
aws	aws	16967362	8
